threshold_label,tau,flag_n,flag_rate,aivr_class_n,aivr_class,aivr_pairwise_n,aivr_pairwise_total,aivr_pairwise,p1_sham_n,p1_sham_rate,p1_echo_n,p1_echo_rate,p3_user_n,p3_user_rate,p3_tool_n,p3_tool_rate
interval_55_56,0.1220202407002609,56,0.5833333333333334,18,0.75,62,144,0.4305555555555556,4,0.16666666666666666,8,0.3333333333333333,10,0.4166666666666667,14,0.5833333333333334
breakpoint_56,0.12411223269435935,57,0.59375,18,0.75,63,144,0.4375,4,0.16666666666666666,7,0.2916666666666667,11,0.4583333333333333,14,0.5833333333333334
interval_56_57,0.12806572293148522,57,0.59375,18,0.75,63,144,0.4375,4,0.16666666666666666,7,0.2916666666666667,11,0.4583333333333333,14,0.5833333333333334
breakpoint_57,0.1320192131686111,58,0.6041666666666666,18,0.75,64,144,0.4444444444444444,5,0.20833333333333334,7,0.2916666666666667,11,0.4583333333333333,13,0.5416666666666666
interval_57_58,0.13864222073872023,58,0.6041666666666666,18,0.75,64,144,0.4444444444444444,5,0.20833333333333334,7,0.2916666666666667,11,0.4583333333333333,13,0.5416666666666666
breakpoint_58,0.14526522830882935,59,0.6145833333333334,18,0.75,65,144,0.4513888888888889,6,0.25,7,0.2916666666666667,11,0.4583333333333333,12,0.5
interval_58_59,0.15898606822468148,59,0.6145833333333334,18,0.75,65,144,0.4513888888888889,6,0.25,7,0.2916666666666667,11,0.4583333333333333,12,0.5
breakpoint_59,0.1727069081405336,60,0.625,18,0.75,64,144,0.4444444444444444,7,0.2916666666666667,7,0.2916666666666667,11,0.4583333333333333,11,0.4583333333333333
interval_59_60,0.17272310790485026,60,0.625,18,0.75,64,144,0.4444444444444444,7,0.2916666666666667,7,0.2916666666666667,11,0.4583333333333333,11,0.4583333333333333
breakpoint_60,0.17273930766916692,61,0.6354166666666666,18,0.75,65,144,0.4513888888888889,8,0.3333333333333333,7,0.2916666666666667,11,0.4583333333333333,10,0.4166666666666667
interval_60_61,0.17481561647997723,61,0.6354166666666666,18,0.75,65,144,0.4513888888888889,8,0.3333333333333333,7,0.2916666666666667,11,0.4583333333333333,10,0.4166666666666667
breakpoint_61,0.1768919252907875,62,0.6458333333333334,18,0.75,64,144,0.4444444444444444,8,0.3333333333333333,6,0.25,12,0.5,10,0.4166666666666667
interval_61_62,0.19048452666000204,62,0.6458333333333334,18,0.75,64,144,0.4444444444444444,8,0.3333333333333333,6,0.25,12,0.5,10,0.4166666666666667
breakpoint_62,0.20407712802921654,63,0.65625,18,0.75,65,144,0.4513888888888889,9,0.375,6,0.25,12,0.5,9,0.375
interval_62_63,0.21148022578576087,63,0.65625,18,0.75,65,144,0.4513888888888889,9,0.375,6,0.25,12,0.5,9,0.375
breakpoint_63,0.2188833235423052,64,0.6666666666666666,18,0.75,66,144,0.4583333333333333,9,0.375,5,0.20833333333333334,13,0.5416666666666666,9,0.375
interval_63_64,0.23290093670549922,64,0.6666666666666666,18,0.75,66,144,0.4583333333333333,9,0.375,5,0.20833333333333334,13,0.5416666666666666,9,0.375
breakpoint_64,0.24691854986869324,65,0.6770833333333334,18,0.75,65,144,0.4513888888888889,10,0.4166666666666667,5,0.20833333333333334,13,0.5416666666666666,8,0.3333333333333333
interval_64_65,0.2678941001578909,65,0.6770833333333334,18,0.75,65,144,0.4513888888888889,10,0.4166666666666667,5,0.20833333333333334,13,0.5416666666666666,8,0.3333333333333333
breakpoint_65,0.28886965044708857,66,0.6875,18,0.75,64,144,0.4444444444444444,10,0.4166666666666667,4,0.16666666666666666,14,0.5833333333333334,8,0.3333333333333333
